phrasal	meaning	significado	phrase	frase	position
rush off	depart in a hurry.	partir com pressa.	Zac rushed off to get to his medical appointment.	Zac correu para chegar à sua consulta médica.	5639
rush off	produce in great haste	produzir com muita pressa			5640
rush out	release or put something on sale quickly.	liberar ou colocar algo à venda rapidamente.	They rushed the single out after it started getting airplay.	Eles correram o único depois de começar a obter airplay.	5641
rustle up	make something quickly without much preparation.	fazer algo rapidamente sem muita preparação.	We rustled up dinner from what was in the fridge.	Nós nos divertimos do jantar do que estava na geladeira.	5642
saddle up	put a saddle on and prepare an animal to ride.	colocar uma sela e preparar um animal para andar.	She saddled up the horse and rode off.	Ela se espreguiçou o cavalo e saiu.	5643
saddle with	give someone a task or responsibility that is difficult or hard work.	dar a alguém uma tarefa ou responsabilidade que seja difícil ou dura.	They saddled me with preparing the visit.	Ela se espreguiçou o cavalo e saiu.	5644
sag off	not go to school or work, or leave early when you shouldn't.	não ir para a escola ou trabalhar, ou não sair cedo quando você não deveria ter ido.	I was bored so I sagged off work early and went home.	Eles me endureceram com a preparação da visita.	5645
sail into	criticise angrily.	criticar com raiva.	He sailed into me for turning up an hour late.	Ele navegou para mim por transformar uma hora atrasada.	5646
sail through	pass easily, succeed.	passar facilmente, ter sucesso.	He sailed through the final test.	Ele navegou pelo teste final.	5647
sally forth	leave somewhere safe or comfortable.	deixar em algum lugar seguro ou confortável.	The townspeople sallied forth to fight the invading army.	As pessoas da cidade saíram para lutar contra o exército invasor.	5648
sally out	leave somewhere safe or comfortable.	deixar em algum lugar seguro ou confortável.	Though it was pouring with rain, we sallied out to meet her.	Embora estivesse derramando com chuva, nós saíamos para conhecê-la.	5649
salt away	save money.	economizar.	She's making a lot of money, but salts it away rather than spending it.	Ela está ganhando muito dinheiro, mas sente-o em vez de gastar isso.	5650
save on	reduce or avoid consumption to cut costs.	reduzir ou evitar o consumo para cortar custos.	I use Skype to save on my phone bills.	uso o Skype para salvar nas minhas contas de telefone.	5651
save up	to put money aside; to not spend money	colocar dinheiro de lado; não gastar dinheiro	I need to save up for a trip.	Preciso de poupar para uma viagem.	5652
save up	to put money aside; to not spend money	colocar dinheiro de lado; não gastar dinheiro	He is saving up to buy a house.	Ele está economizando para comprar uma casa.	5653
save up	to put money aside; to not spend money	colocar dinheiro de lado; não gastar dinheiro	Parents always save up for their kids.	Os pais sempre poupam para os filhos.	5654
save up	for money for a particular purpose.	dinheiro para um propósito específico.	He's saving up to buy a car.	Ele está economizando para comprar um carro.	5655
save up	collect or store something for future use.	coletar ou armazenar algo para uso futuro.	I'm saving up the receipts to claim on them all at once.	Estou salvando os recibos para reivindicar todos eles de uma só vez.	5656
save up	not spend money	não gastar dinheiro			5657
saw off	to remove something by cutting it with a saw.	remover algo cortando-o com uma serra.	He sawed off the legs of the chair.	Ele saiu das pernas da cadeira.	5658
saw up	cut into pieces with a saw.	cortar em pedaços com uma serra.	We sawed the plank up to make the shelves.	Nós vimos a prancha para fazer as prateleiras.	5659
scale back	make something smaller than originally planned.	fazer algo menor do que originalmente planejado.	They had to scale back the project because of the costs.	Eles tiveram que reduzir o projeto por causa dos custos.	5660
scale back	make a reduction in the amount, extent, etc. of something	fazer uma redução na quantidade, extensão, etc. de algo			5661
scale back	make something smaller in size, amount, etc. than it used to be	faça algo menor em tamanho, quantidade, etc. do que costumava ser			5662
scale down	make something smaller than originally planned.	fazer algo menor do que originalmente planejado.	They have had to scale down the project because of the costs.	Eles tiveram que reduzir o projeto por causa dos custos.	5663
scale up	increase, make bigger.	aumentar, tornar maior.	They are scaling up the programme because it has been so successful.	Eles estão aumentando o programa porque tem sido tão bem sucedido.	5664
scare away	frighten someone some much that they go away.	assustar alguém um pouco para eles irem embora.	The cat scared the birds away.	O gato assustou as aves.	5665
scare off	make someone so frightened that he or she away.	fazer alguém tão assustado que ele ou ela foge.	The vicious Doberman guard-dog scared the burglars away.	O cão de guarda doberman vicioso assustou os ladrões de distância.	5666
scare off	cause (something) to flee by frightening it	fazer com que (algo) fuja assustando-o			5667
scare off	deter	deter			5668
scarf down	eat something quickly	comer algo rapidamente			5669
scoot over	move to different position when sitting	mover para o lado quando sentado	Scoot over and let me sit down.	Ele tem sido sifoning dinheiro off a empresa.	5670
scoot over	move to different position when sitting	mover para o lado quando sentado	Scoot your chair over so we can talk.	scoot sobre e deixe-me sentar.	5671
scout about	look in different places for something.	olhar em lugares diferentes procurando alguma coisa.	The company is scouting about for new staff.	A empresa está procurando para novos funcionários.	5672
scout around	look in different places for something.	olhar em lugares diferentes procurando alguma coisa.	We scouted around to find the best price.	Nós escolhemos para encontrar o melhor preço.	5673
scout out	search for something.	procurar por algo.	The researcher spent months scouting out the answer.	O pesquisador passou meses de exploração para fora da resposta.	5674
scout round	look in different places for something.	olhar em lugares diferentes procurando alguma coisa.	I scouted round for a bargain.	escolhi por uma barganha.	5675
scout up	try to find someone for a task or requirement.	tentar encontrar alguém para uma tarefa ou requisito.	We'd better scout up a replacement for her.	É melhor proclamar um substituto para ela.	5676
scrape along	manage with little money.	gerenciar com pouco de dinheiro.	I've been scraping along on temporary work since I lost my job.	tenho raspado no trabalho temporário desde que perdi meu trabalho.	5677
scrape by	just manage to pass something.	apenas conseguir passar alguma coisa.	I thought I was going to fail, but scraped by with 51%.	tenho raspado no trabalho temporário desde que perdi meu trabalho.	5678
scrape in	just get enough to succeed, pass or be accepted.	ter o suficiente para ter sucesso ou ser aceito.	The government scraped in with 51% of the votes cast.	O governo raspou com 51% dos votos lançados.	5679
scrape into	be accepted somewhere, but only just.	ser aceito em algum lugar, mas apenas isso e por bem pouco.	She got mediocre grades and just scraped into university.	O governo raspou com 51% dos votos lançados.	5680
scrape through	pass a test but only just.	passar um teste, mas apenas isso e bem mal.	I did no revision and only just scraped through the final exams.	Não fiz revisão e apenas raspado através dos exames finais.	5681
scrape together	manage to collect enough of something you need, usually money.	conseguir coletar o suficiente de algo que você precisa, geralmente dinheiro.	I had to search my flat for money to scrape together what I needed.	tive que procurar meu apartamento por dinheiro para raspar o que eu precisava.	5682
scrape up	manage to collect enough of something you need, usually money.	conseguir coletar o suficiente de algo que você precisa, geralmente dinheiro.	It took me ages to scrape up the money for the tickets.	Demorei eras para raspar o dinheiro para os ingressos.	5683
screen off	separate a part of a room with something like a curtain, screen, etc..	separar uma parte de uma sala com algo como uma cortina, tela, etc.	We screened off the area where we had the discussion from the rest of the meeting.	Nós tiramos a área onde tivemos a discussão do resto da reunião.	5684
screen out	exclude.	excluir.	Applicants without the right qualifications were screened out.	Os candidatos sem as qualificações certas foram exibidos.	5685
screen out	block light.	luz de bloqueio.	The sun cream screens out uv light.	O Sun Creme tira a luz UV.	5686
screen out	stop noticing something.	parar de perceber alguma coisa.	There are so many notices and signs that I have started screening them out.	Há tantos avisos e sinais que comecei a examiná-los.	5687
screw around	waste time.	perder tempo.	He spent the afternoon screwing aroud and got nothing done.	Ele passou a tarde estragando e não fez nada.	5688
screw around	be sexually promiscuous.	ser sexualmente promíscuo.	He screwed around a lot at university.	Ele passou a tarde estragando e não fez nada.	5689
screw on	to ensure the top of a container/bottle is sealed.	garantir que a parte superior de um contêiner / garrafa seja selada.	I like the sort of shelving that you screw on the wall.	Eu gosto do tipo de prateleiras que você parafusar na parede.	5690
screw out of	to cheat or deceive someone.	trapacear ou enganar alguém.	We'll screw every last penny out of him.	Vamos arrancar até o último centavo dele.	5691
screw over	treat harshly or cheat.	tratar severamente ou trapacear.	The irs really screwed him over.	O IRS realmente feria-o.	5692
screw up	to make a mistake or do something really bad.	cometer um erro ou fazer algo realmente ruim.	David screwed up his oral exam but still managed to scrape a pass.	David aparafusou seu exame oral, mas ainda conseguiu raspar um passe.	5693
screw up	do badly or fail.	fazer mal ou falhar.	David screwed up his oral exam but still managed to scrape a pass.	David aparafusou seu exame oral, mas ainda conseguiu raspar um passe.	5694
screw up	to make a mistake or do something really bad.	cometer um erro ou fazer algo realmente ruim.	David screwed up his oral exam but still managed to scrape a pass.	David aparafusou seu exame oral, mas ainda conseguiu raspar um passe.	5695
see about	to seriously think about doing something.	pensar seriamente em fazer alguma coisa.	I'll see about whether we can manage it.	vou ver se podemos administrá-lo.	5696
see about	arrange, consider.	organizar, considerar.	I'll see about whether we can manage it.	vou ver se podemos administrá-lo.	5697
see about	to seriously think about doing something.	pensar seriamente em fazer alguma coisa.	I'll see about whether we can manage it.	vou ver se podemos administrá-lo.	5698
see in	welcome	bem-vindo			5699
see into	accompany someone into an office.	acompanhar alguém em um escritório.	Her secretary saw me into her office.	Sua secretária me viu em seu escritório.	5700
see into	escort into, especially a place of shelter	acompanhar, especialmente um local de abrigo			5701
see off	chase somebody or something away.	perseguir alguém ou algo assim.	a cat came into the back garden but the dog soon saw it off.	Um gato entrou no jardim dos fundos, mas o cão logo viu isso.	5702
see off	go to the airport, station, etc., to say goodbye to someone.	ir para o aeroporto, estação, etc, para dizer adeus a alguém.	I went to the station to see them off.	fui para a estação para vê-los.	5703
see off	go to the airport or station to say goodbye to someone	ir ao aeroporto ou estação para se despedir de alguém			5704
see out	accompany a guest to your front door when they are leaving your house.	acompanhar um convidado à sua porta da frente quando estiverem deixando sua casa.	Are you sure you're going? I'll get your coats and see you out.	Tem certeza de que vai? Eu vou pegar seus casacos e te ver.	5705
see out	accompany a guest when he or she leaves	acompanhar um convidado quando ele ou ela sai			5706
see out	continue something until completion; to watch an activity develop to a conclusion	continuar algo até a conclusão; observar uma atividade se desenvolver até o fim			5707
see through	continue with something to the end.	continuar com algo até o fim.	They had a lot of difficulties in implementing the project, but the team saw it through successfully.	Eles tiveram muitas dificuldades na implementação do projeto, mas a equipe viu com sucesso.	5708
see through	realise someone is lying or being deceitful.	perceber que alguém está mentindo ou sendo enganador.	The police quickly saw through her disguise and arrested her.	A polícia rapidamente viu através de seu disfarce e prendia-a.	5709
see through	find something to be visually transparent	encontrar algo que seja visualmente transparente			5710
see through	provide support or cooperation to (a person) throughout a period of time	fornecer apoio ou cooperação a (uma pessoa) durante um período de tempo			5711
see through	do something until it is finished	fazer algo até terminar			5712
see through	constitute ample supply for one for	constituir ampla oferta			5713
see through	not be deceived by something that is false or misleading	não se deixe enganar por algo falso ou enganoso			5714
see to	deal with something.	lidar com alguma coisa.	He saw to the arrangements and everything ran smoothly and efficiently.	Ele viu para os arranjos e tudo correu sem problemas e eficientemente.	5715
see to	take care of; to effect; to make happen	cuidar de; afetar; fazer acontecer			5716
see to	serve or care for 	servir ou cuidar			5717
sell down	to lessen in number as a result of being sold.	diminuir em número como resultado de ser vendido.	Our stock is selling down, so be sure to grab your copy of this limited-edition item before they're all gone!		5718
sell off	sell a business or part of it.	vender um negócio ou parte dele.	They sold off their research subsidiary.	Eles venderam sua subsidiária de pesquisa.	5719
sell off	sell something cheaply because you need the money or don't need it.	vender algo mais barato porque você precisa do dinheiro ou não precisa disso.	She sold off her furniture before she emigrated.	Eles venderam sua subsidiária de pesquisa.	5720
sell on	convince someone.	convencer alguém.	We managed to sell him on the expansion plans.	Conseguimos vendê-lo nos planos de expansão.	5721
sell on	buy something then sell it to someone else.	comprar algo e vender para outra pessoa.	We buy them wholesale and sell them on to the public.	Nós os compramos atacado e vendê-los para o público.	5722
sell out	to sell all of something so that nothing remains	vender tudo para que nada reste	This product is sold out.	Este produto está esgotado.	5723
sell out	to sell all of something so that nothing remains	vender tudo para que nada reste	All the supply is sold out today.	Todo o fornecimento está esgotado hoje.	5724
sell out	to sell all of something so that nothing remains	vender tudo para que nada reste	I want to sell out all my properties and move away.	Eu quero vender todas as minhas propriedades e me afastar.	5725
sell out	when all the inventory of a particular product has been purchased.	quando todo o inventário de um produto específico foi comprado.	The tickets for the Primal Scream concert at the Brixton Academy sold out in a couple of hours.	Os ingressos para o concerto de grito primordial na Brixton Academy vendidos em algumas horas.	5726
sell out	have no more of something left because it has been bought.	não ter mais alguma coisa porque foi vendida.	The tickets for the Primal Scream concert at the Brixton Academy sold out in a couple of hours.	Os ingressos para o concerto de grito primordial na Brixton Academy vendidos em algumas horas.	5727
sell out	lose all artistic integrity in return for commercial success.	perder toda a integridade artística em troca do sucesso comercial.	Most bands sell out when they sign to a major record label, and forget all their principles when pursuing chart success.	A maioria das bandas vende quando eles assinam para uma grande gravadora, e esquecem todos os seus princípios ao buscar o sucesso do gráfico.	5728
sell out	when all the inventory of a particular product has been purchased.	quando todo o inventário de um produto específico foi comprado.	The tickets for the Primal Scream concert at the Brixton Academy sold out in a couple of hours.	Os ingressos para o concerto de grito primordial na Brixton Academy vendidos em algumas horas.	5729
sell out	sell all of a product that is in stock	vender todo um produto que está em estoque			5730
sell out	abandon or betray one's supporters or principles to seek profit	abandonar ou trair seus apoiadores ou princípios em busca de lucro			5731
sell out	betray a person, usually a close friend or family member, for personal gain	trair uma pessoa, geralmente um amigo próximo ou membro da família, para ganho pessoal			5732
sell out	sell the whole supply/ capacity	vender toda a oferta/capacidade			5733
sell up	sell a house or business to move somewhere or do something different.	vender uma casa ou empresa para se mover para algum lugar ou fazer algo diferente.	We want to sell up and move to the country.	Queremos vender e passar para o país.	5734
send away	dismiss from one's presence	dispensar da presença			5735
send away	send to a particular place for a long time, as a family member, an employee, etc.	enviar para um determinado local por um longo período, como familiar, funcionário, etc.			5736
send away for	write to a business or other organisation, requesting a thing	escrever para uma empresa ou outra organização, solicitando algo			5737
send back	return (usually by mail)	retornar ( geralmente por correio )	My letter got sent back to me because I used the wrong stamp.	Minha carta foi enviada de volta para mim porque usei o carimbo errado.	5738
send back	return something.	retornar alguma coisa.	I sent my food back because it was overcooked.	enviei minha comida de volta porque estava cozido demais.	5739
send back	return (something) to its origin	retornar (algo) à sua origem			5740
send back	remind (someone) of a previous time in the past	lembrar (alguém) de um momento anterior no passado			5741
send down	suspend or expel (an undergraduate) from university	suspender ou expulsar (um estudante de graduação) da universidade			5742
send down	demote a player within the levels of professional baseball 	rebaixar um jogador dentro dos níveis do beisebol profissional			5743
send down	commit (someone) to a prison term	comprometer (alguém) com uma pena de prisão			5744
send for	ask someone to come and help.	pedir a alguém para vir e ajudar.	I had to send for a plumber because the radiator was leaking.	tive que enviar um encanador porque o radiador estava vazando.	5745
send in	order people into a place to handle a problem.	encomendar as pessoas em um lugar para lidar com um problema.	The police were sent in to quell the riot as the protesters had started burning cars and wrecking shops.	A polícia foi enviada para suportar o motim como os manifestantes começaram a queimar carros e as lojas de destruição.	5746
send in	write to get information.	escrever para obter informações.	If you want to enter the competition, you have to send in for an entry form.	Se você quiser entrar na competição, terá que enviar um formulário de inscrição.	5747
send off	expel a sports player from a match.	expulsar um jogador esportivo de uma partida.	The football striker was sent off for arguing with the referee's decision.	O atacante de futebol foi expulso para discutir com a decisão do árbitro.	5748
send off	post a letter.	postar uma carta.	I must send this letter off today otherwise it won't get there in time.	devo enviar esta carta hoje, caso contrário, não chegará lá no tempo.	5749
send off	send; to dispatch	enviar; despachar			5750
send off for	order something by post.	encomendar algo por postagem.	I sent off for some jeans that I liked in the catalogue.	entrei para alguns jeans que gostava no catálogo.	5751
send out	send something to a lot of people.	enviar algo para muitas pessoas.	They sent out a mailshot to all their existing customers.	entrei para alguns jeans que gostava no catálogo.	5752
send out for	order takeaway food by phone.	pedir comida por telefone.	We couldn't be bothered to cook, so we sent out for a pizza.	Nós não poderíamos ser incomodados em cozinhar, então enviamos uma pizza.	5753
send out for	make an order for something to be delivered, especially takeaway food	fazer um pedido para que algo seja entregue, especialmente comida para viagem			5754
send something back	return (usually by mail)		My letter got sent back to me because I used the wrong stamp.	Minha carta foi enviada de volta para mim porque usei o carimbo errado.	5755
send up	imitate/impersonate for comic effect.	imitar ou representar com efeito cômico.	The mischievous schoolboy was standing at the front of the class, sending the teacher up, when the teacher opened the door behind him.	O estudante travesso estava de pé na frente da aula, enviando a professora, quando a professora abriu a porta atrás dele.	5756
send up	imitate someone or something for the purpose of satirical humour	imitar alguém ou algo com o propósito de humor satírico			5757
send up	put in prison 	colocar na prisão			5758
set about	start doing something.	começar a fazer alguma coisa.	We set about the cleaning and got it done before lunchtime.	Nós colocamos sobre a limpeza e fiz isso antes da hora do almoço.	5759
set about	attack.	atacar.	The gang set about her as she left the bank.	A gangue é colocada sobre ela enquanto saía do banco.	5760
set about	initiate or begin some action	iniciar ou começar alguma ação			5761
set about	attack	atacar			5762
set apart	distinguish, be better than or different from others.	distinguir, ser melhor que ou diferente dos outros.	The quality of their work sets them apart from their rivals.	A gangue é colocada sobre ela enquanto saía do banco.	5763
set aside	overturn a court verdict or decision.	derrubar um veredicto ou decisão do tribunal.	The Appeal Court set aside the guilty verdict because the evidence was unsatisfactory and declared her not guilty.	O tribunal de apelação reservou o veredicto culpado porque a evidência era insatisfatória e declarou não culpada.	5764
set aside	separate and reserve something for a specific purpose	separar e reservar algo para uma finalidade específica			5765
set back	cost.	custo.	The car repairs set me back eight hundred pounds.	O tribunal de apelação reservou o veredicto culpado porque a evidência era insatisfatória e declarou não culpada.	5766
set back	delay.	atrasar.	The accident set the project back several months.	O acidente definiu o projeto de volta vários meses.	5767
set back	delay or obstruct	atrasar ou obstruir			5768
set back	remove from or allow distance	remover ou permitir distância			5769
set back	cost money, as	custa dinheiro			5770
set down	write	escrever			5771
set forth	state or outline an opinion.	estado ou delinear uma opinião.	He set forth his ideas in his autobiography.	Ele apresentou suas idéias em sua autobiografia.	5772
set forth	start a journey.	começar uma jornada.	We set forth at daybreak for the summit of the mountain.	Nós estabelecemos ao amanhecer para a cúpula da montanha.	5773
set forth	begin a journey or expedition	começar uma viagem ou expedição			5774
set in	change season noticeably.	mudar uma temporada visivelmente.	Winter has set in; it's started snowing.	O inverno começou; Começou a nevar.	5775
set in	take root, become established	criar raízes, estabelecer-se			5776
set off	to start a journey or trip	iniciar uma viagem ou viagem	We set off early in the morning to avoid traffic.	Partimos de manhã cedo para evitar o trânsito.	5777
set off	to trigger or initiate something, such as a series of events	desencadear ou iniciar algo, como uma série de eventos	Her comments set off a heated debate among the panelists.	Seus comentários desencadearam um debate acalorado entre os palestrantes.	5778
set off	explode a bomb.	explodir uma bomba.	Terrorists set off a car bomb in the city centre last night. Fortunately, no-one was hurt or killed.	Os terroristas partem de uma bomba de carro no centro da cidade na noite passada. Felizmente, ninguém foi ferido ou morto.	5779
set off	ring an alarm.	soar um alarme.	The smoke set the fire alarm off.	A fumaça definiu o alarme de incêndio.	5780
set off	start a journey.	começar uma jornada.	We set off for work at seven-thirty.	Nós partimos para o trabalho às sete e meia.	5781
set off	counterbalance a debt.	contrabalançar uma dívida.	The company set off its overseas debts against it profits at home.	A empresa definiu suas dívidas no exterior contra os lucros de TI em casa.	5782
set off	provide a visual contrast that looks good.	fornecer um contraste visual que parece bom.	The dark frame sets the pale drawing off well.	O quadro escuro define bem o desenho pálido.	5783
set off	cause, trigger events.	causa, acionar eventos.	The pay freeze set off a wave of strikes.	O congelamento pago disparou uma onda de greves.	5784
set off	leave; to begin a journey or trip	deixar; começar uma jornada ou viagem			5785
set off	begin; to cause; to initiate	começar; causar; iniciar			5786
set off	cause to explode, let off	fazer explodir, soltar			5787
set off	make angry	fazer raiva			5788
set off	offset, to compensate for, to reduce the effect of, by having a contrary effect	compensar, reduzir o efeito de, ter um efeito contrário			5789
set off	start a journey	começar uma jornada			5790
set on	attack.	atacar.	He was set on when he left the bar.	Ele foi colocado quando saiu do bar.	5791
set on	encourage someone, or an animal, to attack someone	incentivar alguém, ou um animal, a atacar alguém			5792
set out	display, show.	exibir, mostrar.	The figures are set out in the council's annual report.	Os números são estabelecidos no relatório anual do Conselho.	5793
set out	start a journey.	começar uma jornada.	The explorers set out for the South Pole yesterday morning.	Os exploradores partiram para o Pólo Sul ontem de manhã.	5794
set out	arrange, organise.	arranjo, organizar.	The contract sets out all the details of the agreement.	O contrato estabelece todos os detalhes do acordo.	5795
set out	explain something, or give exact details, usually in writing	explicar algo ou fornecer detalhes exatos, geralmente por escrito			5796
set out	go out, leave	sair, deixar			5797
set out	start an activity with the intention of finishing it	iniciar uma atividade com a intenção de terminá-la			5798
set out	start a journey, especially a long journey	começar uma jornada, especialmente uma longa jornada			5799
set somebody up	trick, trap		The police set up the car thief by using a hidden camera.	A polícia montou o ladrão de carros usando uma câmera escondida.	5800
set someone back	to cost someone a particular amount of money, especially a large amount	custar a alguém uma determinada quantia de dinheiro, especialmente uma grande quantia			5801
set something up	arrange, organize		Our boss set a meeting up with the president of the company.	Nosso chefe marcou uma reunião com o presidente da empresa.	5802
set to	work hard or enthusiastically.	trabalhar duro ou entusiasticamente.	If we all set to, we should be able to finish this in a few hours.	Se todos nos formamos, devemos poder terminar isso em algumas horas.	5803
set up	trick, trap	truque, armadilha	The police set up the car thief by using a hidden camera.	A polícia montou o ladrão de carros usando uma câmera escondida.	5804
set up	arrange, organize	ordenar, organizar	Our boss set a meeting up with the president of the company.	Nosso chefe marcou uma reunião com o presidente da empresa.	5805
set up	to establish or arrange something	estabelecer ou organizar algo	They set up a new business together.	Eles montaram um novo negócio juntos.	5806
set up	to organize or plan for an activity/event to happen.	organizar ou planejar uma atividade / evento a acontecer.	The technician set up the computer network perfectly.	O técnico configurou a rede do computador perfeitamente.	5807
set up	prepare equipment, software, etc., for use.	preparar equipamentos, software, etc., para uso.	The technician set up the computer network perfectly.	O técnico configurou a rede do computador perfeitamente.	5808
set up	start a company.	começar uma empresa.	They set up a dot com company, floated it a couple of years later on the Stock Exchange and made an absolute fortune.	Eles montaram uma empresa dot com, flutuou um par de anos depois na bolsa de valores e fez uma fortuna absoluta.	5809
set up	provide someone with the money needed to live.	fornecer a alguém o dinheiro necessário para viver.	Winning the lottery set them up for life.	Ganhando a loteria configurá-los para a vida.	5810
set up	trick, deceive.	truque, enganar.	The police set them up.	Ganhando a loteria configurá-los para a vida.	5811
set up	to organize or plan for an activity/event to happen.	organizar ou planejar uma atividade / evento a acontecer.	The technician set up the computer network perfectly.	O técnico configurou a rede do computador perfeitamente.	5812
set up	to lay out a plan to do something		The police caught the gang trying to set up a kidnapping.		5813
set up	to arrange for someone to meet someone as a possible mate		A friend set me up with his brother.		5814
set up	to provide someone with adequate nourishment.		The B&B provides a generous breakfast that will set you up for the rest of the day.		5815
set up	trap or ensnare 	armadilha			5816
set up	prepare someone for a deception or trickery or joke		They set up their victim for the usual real estate scam		5817
set up	arrange for an outcome; to tamper or rig	organizar um resultado; adulterar ou manipular			5818
set up	to make it look like someone is guilty of some crime or wrongdoing; to frame someone.		Those drugs aren't mine, someone is setting me up!		5819
set up	provide the money or other support that someone needs for an important task or activity	fornecer o dinheiro ou outro apoio que alguém precisa para uma tarefa ou atividade importante			5820
set up	establish someone in a business or position	estabelecer alguém em um negócio ou posição			5821
set up	trick someone in order to make them do something	enganar alguém para forçá-lo a fazer algo			5822
set up	assemble, erect, make ready for use	montar, erguer e preparar para uso	They set up the sound system last night.		5823
set up	place in an upright position	colocar na posição vertical	I keep setting up this lamp but it won't stay up.		5824
set up	elevate, raise, put in a position of authority or power	elevar, colocar em posição de autoridade ou poder	They set him up as their leader.		5825
set up	put oneself forward, claim to be	apresentar-se, afirmar ser	He set himself up as an authority on the banking system.		5826
set up	establish; found	estabelecer; encontrado	They set up a new charity for the homeless.		5827
set up	establish in business by providing capital or other backing	estabelecer-se no negócio fornecendo capital ou outro apoio	His father set her up in a new dental practice.		5828
set up	treat someone to drinks, pay for drinks	tratar alguém com bebidas, pagar pelas bebidas	Please let us set you up tonight		5829
set up	stimulate or exhilarate	estimular ou animar	That victory really set up our team.		5830
set up	lay plans for	estabelecer planos para	I think they set up the kidnapping months ago.		5831
set up	cause, bring about	causar, provocar	The new taxes set up howls of protest.		5832
set up	start (a business)	começar um negócio			5833
set upon	attack.	atacar.	They set upon her when she was in the car park.	Eles se colocaram quando ela estava no estacionamento.	5834
set upon	attack someone 	atacar alguém			5835
settle down	to calm down or become established in a stable life	se acalmar ou se estabelecer em uma vida estável	After traveling for years, she decided to settle down in a small town.	Depois de viajar por anos, ela decidiu se estabelecer em uma pequena cidade.	5836
settle down	to begin living a stable and routine life.	começar a viver uma vida estável e rotineira.	After years of partying and drinking, she finally got married and settled down.	Depois de anos de festa e beber, ela finalmente se casou e se estabeleceu.	5837
settle down	start living a fixed and routine life.	começar a viver uma vida fixa e de rotina.	After years of partying and drinking, she finally got married and settled down.	Depois de anos de festa e beber, ela finalmente se casou e se estabeleceu.	5838
settle down	to begin living a stable and routine life.	começar a viver uma vida estável e rotineira.	After years of partying and drinking, she finally got married and settled down.	Depois de anos de festa e beber, ela finalmente se casou e se estabeleceu.	5839
settle down	become quiet and calm after a period of disturbance or restlessness	ficar quieto e calmo após um período de perturbação ou inquietação			5840
settle down	get comfortable with one's new accommodation or circumstances	ficar confortável com a nova acomodação ou circunstâncias			5841
settle down	begin to live a quieter life by getting married	começar a viver uma vida mais tranquila casando-se			5842
settle for	to accept something even though it’s not what you want or need.	aceitar algo, mesmo que não seja o que você deseja ou precisa.	We were upset not to win and had to settle for the second prize.	Nós ficamos chateados para não ganhar e tivemos que se contentar com o segundo prêmio.	5843
settle for	accept whatever is available.	aceitar o que estiver disponível.	We were upset not to win and had to settle for the second prize.	Nós ficamos chateados para não ganhar e tivemos que se contentar com o segundo prêmio.	5844
settle for	to accept something even though it’s not what you want or need.	aceitar algo, mesmo que não seja o que você deseja ou precisa.	We were upset not to win and had to settle for the second prize.	Nós ficamos chateados para não ganhar e tivemos que se contentar com o segundo prêmio.	5845
settle for	accept or allow something, especially something not entirely desirable	aceitar ou permitir algo, especialmente algo não totalmente desejável			5846
settle in	to become accustomed or get comfortable in a new place	se acostumar ou se sentir confortável em um novo lugar	It took some time for them to settle in their new home.	Levou algum tempo para eles se estabelecerem em sua nova casa.	5847
settle in	get used to.	acostumar-se.	It took him a while to settle in when he moved to Japan.	Levou um pouco para se estabelecer quando se mudou para o Japão.	5848
settle in	get comfortable or established, as in a new place	ficar confortável ou estabelecido, como em um novo lugar			5849
settle on	agree.	aceitar, concordar	They couldn't agree at first on a name for their daughter, but finally settled on Alice.	Levou um pouco para se estabelecer quando se mudou para o Japão.	5850
settle on	make a decision or selection; to decide, arrange, or agree on	tomar uma decisão ou seleção; decidir, arranjar ou concordar			5851
settle up	to pay a debt or resolve financial matters	pagar uma dívida ou resolver questões financeiras	They need to settle up the bill before leaving the restaurant.	Eles precisam pagar a conta antes de sair do restaurante.	5852
settle up	pay a debt.	pagar uma dívida.	Let's settle up for the dinner the other night.	Eles não poderiam concordar em primeiro lugar para sua filha, mas finalmente se estabeleceram em Alice.	5853
sex up	change information to make it more attractive to the reader or listener.	alterar informações para torná-las mais atraente para o leitor ou ouvinte.	The government denied that they had sexed up the report to make the front page.	O governo negou que eles se transformaram no relatório para fazer a primeira página.	5854
shack up	live with someone when you are in a relationship..	viver com alguém quando você está em um relacionamento.	They shacked up a few months after they started going out.	Eles empatavam alguns meses depois que começaram a sair.	5855
shack up	live somewhere temporarily.	viver em algum lugar temporariamente.	We had to shack up with friends while our house was being decorated.	Tivemos que caber com amigos enquanto nossa casa estava sendo decorada.	5856
shade in	make a part of a picture darker.	tornar uma parte de uma foto mais escura.	She shaded in the area under the tree.	Tivemos que caber com amigos enquanto nossa casa estava sendo decorada.	5857
shade up	improve; to correct one's bad habits or behavior	melhorar; corrigir maus hábitos ou comportamento			5858
shade up	take shape; to transform into or become	ganhar corpo; transformar-se ou tornar-se			5859
shake down	search.	procurar, pesquisar	The police shook the house down looking for drugs.	A polícia balançou a casa à procura de drogas.	5860
shake down	extort or cheat money from someone.	extorquir ou surrupiar dinheiro de alguém.	He shook the guy down with some story about needing the money for an operation.	Ele balançou o cara com alguma história sobre precisar de dinheiro para uma operação.	5861
